bin,bid,YearBuilt,BuildingType,NumberofFloors,PropertyGFATotal,SiteEnergyUse(kBtu),geometry,Building Age,Total Carbon
345,3007254459,1983,Commercial,47,1323055,37680840.0,POINT (550038.2108302106 5272619.381550112),39,4065010.7649290506
346,232080836,1986,Commercial,41,589921,17025694.0,POINT (549974.4836759366 5272687.745345454),36,1836732.6575094385
348,457119602,1968,Commercial,8,147672,4151438.0,POINT (549859.3531817077 5272702.320135947),54,447857.323773449
349,3011903197,1991,Commercial,29,635303,17040088.0,POINT (549851.5234683596 5272738.931250616),31,1838285.4828963035
350,357562885,1958,Commercial,6,172842,35869476.0,POINT (549921.1568274862 5272770.647791963),64,3869600.7326897215
351,232080287,1980,Commercial,34,776762,25695974.0,POINT (549957.1101552943 5272785.404661207),42,2772082.865597927
352,739717658,1972,Commercial,14,186768,9809745.0,POINT (550014.8311862544 5272803.682804763),50,1058275.7450791684
353,5087520837,1969,Commercial,49,1123435,42770276.0,POINT (550066.4745495152 5272741.884422555),53,4614059.356399343
354,232080843,2002,Commercial,37,1052469,30076686.0,POINT (550118.96614307 5272668.9792064745),20,3244674.279113493
355,357335123,1973,Commercial,42,711611,32878404.0,POINT (550234.0740929007 5272744.43738291),49,3546923.746755284
356,232088568,1907,Commercial,8,201480,6235330.0,POINT (550163.3058415186 5272582.666831776),115,672667.6892788233
357,2997957264,1990,Institutional,63,1354987,45705480.0,POINT (550368.2131079609 5272617.77691461),32,4930709.299905454
358,333212253,2001,Institutional,14,310490,19412204.0,POINT (550420.8441316048 5272529.315148944),21,2094189.4668749096
360,226323021,2006,Commercial,13,372242,15561026.0,POINT (550471.355060889 5272338.581392451),16,1678724.2058123131
361,226323013,1909,Commercial,7,114395,6019512.0,POINT (550503.4638825849 5272276.617752325),113,649385.2334401143
365,98531547,1969,Commercial,5,36000,34442664.0,POINT (551423.0478442493 5278805.625919151),53,3715676.1880264417
367,222834345,2002,Commercial,6,135051,3278720.0,POINT (551290.1020122697 5278810.010085775),20,353708.4655009861
368,222834382,2002,Commercial,5,220649,4440688.0,POINT (551251.7048671781 5278736.314701747),20,479061.6271742152
